problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
131,DNF,317.5991774072093,288.2622567292599,288.2622567292599,317.5991774072093,29.336920677949422,True,455,113,,,59,54,d2,d2,True
132,BFS,243.58621377088673,459.8958413312279,243.58621377088673,459.8958413312279,216.3096275603412,True,376,94,d1,True,48,92,d1,d1,True
132,DFS,243.58621377088673,459.8958413312279,243.58621377088673,459.8958413312279,216.3096275603412,True,195,48,d1,True,48,92,d1,d1,True
132,CheapestFirst,243.58621377088673,459.8958413312279,243.58621377088673,459.8958413312279,216.3096275603412,True,376,94,d1,True,48,92,d1,d1,True
132,DNF,243.58621377088673,459.8958413312279,243.58621377088673,459.8958413312279,216.3096275603412,True,563,140,,,48,92,d1,d1,True
133,BFS,135.99597687215564,14.526548026551694,14.526548026551694,135.99597687215564,121.46942884560394,True,47,11,d2,True,28,6,d2,d2,True
133,DFS,135.99597687215564,14.526548026551694,14.526548026551694,135.99597687215564,121.46942884560394,True,115,28,d1,False,28,6,d2,d2,True
133,CheapestFirst,135.99597687215564,14.526548026551694,14.526548026551694,135.99597687215564,121.46942884560394,True,39,9,d2,True,28,6,d2,d2,True
133,DNF,135.99597687215564,14.526548026551694,14.526548026551694,135.99597687215564,121.46942884560394,True,139,34,,,28,6,d2,d2,True
134,BFS,248.46761537812083,280.16070919885556,248.46761537812083,280.16070919885556,31.69309382073473,True,240,60,d1,True,52,58,d1,d1,True
134,DFS,248.46761537812083,280.16070919885556,248.46761537812083,280.16070919885556,31.69309382073473,True,211,52,d1,True,52,58,d1,d1,True
134,CheapestFirst,248.46761537812083,280.16070919885556,248.46761537812083,280.16070919885556,31.69309382073473,True,240,60,d1,True,52,58,d1,d1,True
134,DNF,248.46761537812083,280.16070919885556,248.46761537812083,280.16070919885556,31.69309382073473,True,443,110,,,52,58,d1,d1,True
135,BFS,120.31967721780063,306.46501589451475,120.31967721780063,306.46501589451475,186.14533867671412,True,187,46,d1,True,23,60,d1,d1,True
135,DFS,120.31967721780063,306.46501589451475,120.31967721780063,306.46501589451475,186.14533867671412,True,95,23,d1,True,23,60,d1,d1,True
135,CheapestFirst,120.31967721780063,306.46501589451475,120.31967721780063,306.46501589451475,186.14533867671412,True,183,45,d1,True,23,60,d1,d1,True
135,DNF,120.31967721780063,306.46501589451475,120.31967721780063,306.46501589451475,186.14533867671412,True,335,83,,,23,60,d1,d1,True
136,BFS,457.56270736540694,134.77015102420125,134.77015102420125,457.56270736540694,322.7925563412057,True,223,55,d2,True,87,28,d2,d2,True
136,DFS,457.56270736540694,134.77015102420125,134.77015102420125,457.56270736540694,322.7925563412057,True,351,87,d1,False,87,28,d2,d2,True
136,CheapestFirst,457.56270736540694,134.77015102420125,134.77015102420125,457.56270736540694,322.7925563412057,True,195,48,d2,True,87,28,d2,d2,True
136,DNF,457.56270736540694,134.77015102420125,134.77015102420125,457.56270736540694,322.7925563412057,True,463,115,,,87,28,d2,d2,True
137,BFS,154.479016908663,101.91602801362555,101.91602801362555,154.479016908663,52.56298889503745,True,116,29,d2,True,26,18,d2,d2,True
137,DFS,154.479016908663,101.91602801362555,101.91602801362555,154.479016908663,52.56298889503745,True,107,26,d1,False,26,18,d2,d2,True
137,CheapestFirst,154.479016908663,101.91602801362555,101.91602801362555,154.479016908663,52.56298889503745,True,116,29,d2,True,26,18,d2,d2,True
137,DNF,154.479016908663,101.91602801362555,101.91602801362555,154.479016908663,52.56298889503745,True,179,44,,,26,18,d2,d2,True
138,BFS,384.2875152058122,456.07513819010563,384.2875152058122,456.07513819010563,71.78762298429342,True,372,93,d1,True,77,90,d1,d1,True
138,DFS,384.2875152058122,456.07513819010563,384.2875152058122,456.07513819010563,71.78762298429342,True,311,77,d1,True,77,90,d1,d1,True
138,CheapestFirst,384.2875152058122,456.07513819010563,384.2875152058122,456.07513819010563,71.78762298429342,True,372,93,d1,True,77,90,d1,d1,True
138,DNF,384.2875152058122,456.07513819010563,384.2875152058122,456.07513819010563,71.78762298429342,True,671,167,,,77,90,d1,d1,True
139,BFS,529.5214293777211,352.19574785588355,352.19574785588355,529.5214293777211,177.32568152183757,True,408,102,d2,True,100,68,d2,d2,True
139,DFS,529.5214293777211,352.19574785588355,352.19574785588355,529.5214293777211,177.32568152183757,True,403,100,d1,False,100,68,d2,d2,True
139,CheapestFirst,529.5214293777211,352.19574785588355,352.19574785588355,529.5214293777211,177.32568152183757,True,408,102,d2,True,100,68,d2,d2,True
139,DNF,529.5214293777211,352.19574785588355,352.19574785588355,529.5214293777211,177.32568152183757,True,675,168,,,100,68,d2,d2,True
140,BFS,281.60887977787297,34.477158999997414,34.477158999997414,281.60887977787297,247.13172077787556,True,79,19,d2,True,53,10,d2,d2,True
140,DFS,281.60887977787297,34.477158999997414,34.477158999997414,281.60887977787297,247.13172077787556,True,215,53,d1,False,53,10,d2,d2,True
140,CheapestFirst,281.60887977787297,34.477158999997414,34.477158999997414,281.60887977787297,247.13172077787556,True,71,17,d2,True,53,10,d2,d2,True
140,DNF,281.60887977787297,34.477158999997414,34.477158999997414,281.60887977787297,247.13172077787556,True,255,63,,,53,10,d2,d2,True
141,BFS,52.02888128012921,143.47715794318634,52.02888128012921,143.47715794318634,91.44827666305713,True,83,20,d1,True,10,26,d1,d1,True
141,DFS,52.02888128012921,143.47715794318634,52.02888128012921,143.47715794318634,91.44827666305713,True,43,10,d1,True,10,26,d1,d1,True
141,CheapestFirst,52.02888128012921,143.47715794318634,52.02888128012921,143.47715794318634,91.44827666305713,True,75,18,d1,True,10,26,d1,d1,True
141,DNF,52.02888128012921,143.47715794318634,52.02888128012921,143.47715794318634,91.44827666305713,True,147,36,,,10,26,d1,d1,True
142,BFS,344.8641651508843,216.07065174171933,216.07065174171933,344.8641651508843,128.79351340916494,True,284,71,d2,True,66,45,d2,d2,True
142,DFS,344.8641651508843,216.07065174171933,216.07065174171933,344.8641651508843,128.79351340916494,True,267,66,d1,False,66,45,d2,d2,True
142,CheapestFirst,344.8641651508843,216.07065174171933,216.07065174171933,344.8641651508843,128.79351340916494,True,284,71,d2,True,66,45,d2,d2,True
142,DNF,344.8641651508843,216.07065174171933,216.07065174171933,344.8641651508843,128.79351340916494,True,447,111,,,66,45,d2,d2,True
143,BFS,409.8695314181356,215.24031306522886,215.24031306522886,409.8695314181356,194.62921835290672,True,255,63,d2,True,68,32,d2,d2,True
143,DFS,409.8695314181356,215.24031306522886,215.24031306522886,409.8695314181356,194.62921835290672,True,275,68,d1,False,68,32,d2,d2,True
143,CheapestFirst,409.8695314181356,215.24031306522886,215.24031306522886,409.8695314181356,194.62921835290672,True,283,70,d2,True,68,32,d2,d2,True
143,DNF,409.8695314181356,215.24031306522886,215.24031306522886,409.8695314181356,194.62921835290672,True,403,100,,,68,32,d2,d2,True
144,BFS,345.70128460462035,165.5237231099764,165.5237231099764,345.70128460462035,180.17756149464395,True,247,61,d2,True,64,31,d2,d2,True
144,DFS,345.70128460462035,165.5237231099764,165.5237231099764,345.70128460462035,180.17756149464395,True,259,64,d1,False,64,31,d2,d2,True
144,CheapestFirst,345.70128460462035,165.5237231099764,165.5237231099764,345.70128460462035,180.17756149464395,True,243,60,d2,True,64,31,d2,d2,True
144,DNF,345.70128460462035,165.5237231099764,165.5237231099764,345.70128460462035,180.17756149464395,True,383,95,,,64,31,d2,d2,True
145,BFS,4.766649750766927,76.85397901050001,4.766649750766927,76.85397901050001,72.08732925973308,True,19,4,d1,True,2,19,d1,d1,True
145,DFS,4.766649750766927,76.85397901050001,4.766649750766927,76.85397901050001,72.08732925973308,True,11,2,d1,True,2,19,d1,d1,True
145,CheapestFirst,4.766649750766927,76.85397901050001,4.766649750766927,76.85397901050001,72.08732925973308,True,15,3,d1,True,2,19,d1,d1,True
