problem_id,both,unified_only,dnf_only,neither,pool_size,u_nodes,d_nodes,u_conditions,d_conditions,u_unique,d_unique,u_expansions,d_expansions,u_cycles,d_cycles,u_violations,d_violations,shared,r1,r2,caps,u_false_success,d_false_success,db_actions,db_conflict,mean_del,branch_actions,branch_conflict,n_disjuncts,n_disjuncts,n_solvable
13,6,0,13,2,21,241,245,62,63,35,36,62,63,10,0,0,0,2,2,3,0,33,0,20,9,3.65,19,9,4,4,4
14,21,0,0,0,21,189,261,49,67,31,40,49,67,0,0,0,0,1,3,4,0,15,0,20,10,3.75,14,8,4,4,4
15,3,0,14,4,21,137,257,36,66,25,22,36,66,0,0,14,0,3,2,2,0,31,0,20,14,3.2,13,8,4,4,4
16,19,0,0,2,21,293,457,75,116,41,51,75,116,0,0,0,0,4,2,3,0,6,0,20,16,3.65,10,7,4,4,4
17,3,0,17,1,21,285,289,73,74,36,33,73,74,0,0,17,0,4,2,2,0,33,0,20,17,3.6,20,17,4,4,3
18,8,0,12,0,20,157,129,41,34,28,26,41,34,0,0,12,0,2,2,4,0,25,0,20,11,4.0,14,7,4,4,4
19,21,0,0,0,21,269,325,69,83,33,38,69,83,0,0,0,0,1,3,4,0,0,0,20,9,3.8,16,6,4,4,4
20,18,0,1,2,21,177,321,46,82,28,48,46,82,0,0,0,0,1,3,4,0,1,0,20,7,3.6,15,6,4,4,4
21,3,0,18,0,21,81,65,22,18,18,11,22,18,0,0,18,0,2,3,5,0,36,0,20,11,4.25,11,4,4,4,4
22,21,0,0,0,21,245,265,63,68,31,30,63,68,0,0,0,0,1,3,3,0,0,0,20,7,3.35,14,5,4,4,4
23,21,0,0,0,21,189,365,49,93,26,36,49,93,0,0,0,0,2,3,3,0,4,0,20,11,4.05,11,3,4,4,4
24,21,0,0,0,21,69,93,19,25,13,20,19,25,0,0,0,0,1,3,3,0,0,0,20,9,4.15,5,0,4,4,4
25,1,0,20,0,21,181,197,47,51,28,26,47,51,0,0,0,0,2,2,4,0,19,0,20,13,3.4,15,9,4,4,3
26,2,0,12,7,21,173,177,45,46,30,16,45,46,0,0,19,0,2,3,4,0,37,0,20,13,3.8,15,9,4,4,4
27,21,0,0,0,21,297,301,76,77,33,39,76,77,0,0,0,0,2,2,4,0,0,0,20,12,3.75,13,7,4,4,4
28,20,0,0,0,20,137,169,36,44,25,33,36,44,0,0,0,0,2,4,5,0,6,0,20,12,3.75,10,4,4,4,4
29,2,0,19,0,21,169,265,44,68,27,37,44,68,0,0,19,0,3,2,2,0,39,0,20,11,3.5,9,4,4,4,3
30,1,0,20,0,21,197,57,51,16,32,16,51,16,0,0,20,0,3,2,3,0,43,0,20,17,3.85,11,9,4,4,2
31,21,0,0,0,21,93,85,25,23,16,19,25,23,0,0,0,0,1,2,3,0,2,0,20,11,4.4,9,5,4,4,3
32,21,0,0,0,21,225,233,58,60,25,23,58,60,0,0,0,0,2,3,4,0,0,0,20,10,3.9,12,6,4,4,4
33,21,0,0,0,21,85,117,23,31,17,21,23,31,0,0,0,0,1,3,4,0,0,0,20,4,3.55,10,1,4,4,4
34,21,0,0,0,21,237,233,61,60,28,34,61,60,0,0,0,0,2,4,4,0,7,0,20,13,3.95,15,10,4,4,3
35,20,0,0,0,20,101,153,27,40,14,18,27,40,0,0,0,0,1,2,3,0,0,0,20,9,3.6,10,4,4,4,4
36,21,0,0,0,21,161,297,42,76,14,27,42,76,0,0,0,0,2,3,3,0,0,0,20,12,3.4,7,3,4,4,4
37,18,0,0,3,21,301,425,77,108,40,42,77,108,0,0,0,0,1,2,4,0,0,0,20,9,3.8,17,7,4,4,4
38,1,0,18,1,20,325,209,83,54,44,32,83,54,0,0,18,0,3,2,3,0,37,0,20,17,3.8,19,17,4,4,3
39,6,0,15,0,21,249,281,64,72,30,34,64,72,0,0,15,0,2,3,4,0,44,0,20,14,3.6,15,9,4,4,4
40,16,0,1,4,21,197,121,51,32,34,26,51,32,0,0,0,0,3,2,2,0,4,0,20,16,4.1,14,11,4,4,3
41,21,0,0,0,21,197,293,51,75,25,36,51,75,0,0,0,0,2,2,4,0,0,0,20,13,3.2,15,9,4,4,4
42,1,0,20,0,21,149,125,39,33,19,24,39,33,0,0,20,0,1,2,3,0,49,0,20,7,4.1,13,5,4,4,3
43,1,0,20,0,21,157,49,41,14,27,7,41,14,0,0,20,0,2,2,2,0,39,0,20,13,3.65,13,10,4,4,4
44,11,0,9,0,20,221,321,57,82,24,33,57,82,9,0,0,0,1,2,4,0,27,0,20,6,3.5,15,4,4,4,4
45,21,0,0,0,21,101,141,27,37,18,23,27,37,0,0,0,0,4,3,3,0,15,0,20,17,3.85,14,11,4,4,4
46,18,0,0,3,21,177,257,46,66,26,27,46,66,0,0,0,0,4,2,2,0,5,0,20,15,3.85,14,10,4,4,4
