problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
386,BFS,1605.128271801958,12400.217340956002,1605.128271801958,12400.217340956002,10795.089069154044,True,83,20,d1,True,10,85,d1,d1,True
386,DFS,1605.128271801958,12400.217340956002,1605.128271801958,12400.217340956002,10795.089069154044,True,43,10,d1,True,10,85,d1,d1,True
386,CheapestFirst,1605.128271801958,12400.217340956002,1605.128271801958,12400.217340956002,10795.089069154044,True,67,16,d1,True,10,85,d1,d1,True
386,DNF,1605.128271801958,12400.217340956002,1605.128271801958,12400.217340956002,10795.089069154044,True,383,95,,,10,85,d1,d1,True
387,BFS,11197.363467445335,8882.254513746639,8882.254513746639,11197.363467445335,2315.1089536986965,True,336,84,d2,True,78,64,d2,d2,True
387,DFS,11197.363467445335,8882.254513746639,8882.254513746639,11197.363467445335,2315.1089536986965,True,315,78,d1,False,78,64,d2,d2,True
387,CheapestFirst,11197.363467445335,8882.254513746639,8882.254513746639,11197.363467445335,2315.1089536986965,True,336,84,d2,True,78,64,d2,d2,True
387,DNF,11197.363467445335,8882.254513746639,8882.254513746639,11197.363467445335,2315.1089536986965,True,571,142,,,78,64,d2,d2,True
388,BFS,2628.6035566109535,5271.257911776604,2628.6035566109535,5271.257911776604,2642.65435516565,True,171,42,d1,True,21,41,d1,d1,True
388,DFS,2628.6035566109535,5271.257911776604,2628.6035566109535,5271.257911776604,2642.65435516565,True,87,21,d1,True,21,41,d1,d1,True
388,CheapestFirst,2628.6035566109535,5271.257911776604,2628.6035566109535,5271.257911776604,2642.65435516565,True,167,41,d1,True,21,41,d1,d1,True
388,DNF,2628.6035566109535,5271.257911776604,2628.6035566109535,5271.257911776604,2642.65435516565,True,251,62,,,21,41,d1,d1,True
389,BFS,8577.245088937976,7.1263488736773475,7.1263488736773475,8577.245088937976,8570.1187400643,True,11,2,d2,True,78,1,d2,d2,True
